Name,RA(J2000),DEC(J2000),Radius,magnitude
V353 Aur,04 42 53.624,+36 06 53.401,0.5,-
DV Aur,05 13 20.674,+34 37 04.105,0.5,11.76
IPHAS J052015.87+314938.8,05 20 15.872,+31 49 38.646,0.5,-
UV Aur,05 21 48.912,+32 30 40.125,0.5,10.41
V1261 Ori,05 22 18.696,-08 39 58.099,0.5,6.91
LkHA 295,05 45 48.809,-00 12 36.579,0.5,16.50
LkHA 316,05 47 35.762,+00 38 39.878,0.5,14.75
Gaia DR3 961973138439251968,06 14 44.150,+44 02 34.514,0.5,-
Gaia DR3 3331755360150564608,06 17 50.671,+11 55 00.980,0.5,-
2MASS J06422218-0226285,06 42 22.190,-02 26 28.517,0.5,-
SU Lyn,06 42 55.139,+55 28 27.217,0.5,8.46
MWC 819,06 44 37.669,+01 19 32.622,0.5,15.30
LAMOST J064655.70+403923.1,06 46 55.463,+40 39 23.039,0.5,10.81
V417 CMa,07 01 09.154,-29 06 24.983,0.5,10.61
GH Gem,07 04 12.771,+12 03 34.184,0.5,12.53
Gaia DR3 3047055996867822848,07 13 36.043,-10 52 49.515,0.5,-
SRWW1,07 15 41.697,-01 52 41.610,0.5,14.26
ZZ CMi,07 24 13.997,+08 53 51.719,0.5,10.28
BX Mon,07 25 22.761,-03 35 50.627,0.5,11.24
V694 Mon,07 25 51.286,-07 44 08.075,0.5,10.31
NQ Gem,07 31 54.509,+24 30 12.497,0.5,8.01
ASAS J073507+1137.6,07 35 06.718,+11 37 34.536,0.5,-
QX Pup,07 42 16.670,-14 42 50.568,0.5,-
Gaia DR3 5613975155894932096,07 42 58.118,-25 51 11.045,0.5,16.02
TYC 1371-69-1,07 57 31.122,+20 17 34.666,0.5,10.71
StHA 63,07 58 05.876,-07 43 55.604,0.5,13.71
SBS 0802+529,08 05 47.956,+52 46 28.322,0.5,13.11
IRAS 08034-0641,08 05 53.701,-06 50 36.024,0.5,12.45
WRAY 15-157,08 06 34.870,-28 32 01.167,0.5,13.32
Gaia DR3 5698101745466786176,08 10 31.279,-23 52 27.463,0.5,-
ASASSN-V J081823.00-111138.9,08 18 23.001,-11 11 38.928,0.5,12.50
KW Lyn,08 30 48.091,+41 22 23.470,0.5,10.91
AS 201,08 31 42.880,-27 45 31.520,0.5,11.81
IRAS 08484-1234,08 50 48.227,-12 45 19.030,0.5,11.66
BD-19 2567,08 55 41.571,-20 06 03.503,0.5,9.97
M81 HII 403,09 56 12.321,+69 07 41.731,0.5,-
NuSTAR J095838+6909.2,09 58 38.112,+69 09 13.680,0.5,16.13
EW Leo,10 44 40.431,+19 25 22.973,0.5,10.03
Wil 1 SySt-1,10 49 27.858,+51 03 46.160,0.5,-
2MASS J105143.65-270433.1,10 51 43.627,-27 04 33.067,0.5,12.46
GaSS 1-5,11 22 10.226,-29 21 12.435,0.5,13.47
LEE 107,11 55 39.748,+12 34 48.371,0.5,10.99
VX Crv,12 21 52.478,-13 53 10.259,0.5,12.83
V420 Hya,12 24 32.510,-28 18 55.739,0.5,10.37
