obs_name;longitude;latitude;elevation
Observatorio Astronomico Nacional, San Pedro Martir;-115.48694444444442;31.029166666666665;2829.9999999997976
sso;149.06119444444445;-31.273361111111104;1149.0000000015516
SAAO;20.810807999999998;-32.375823;1798.0000000004793
Observatorio del Teide;-16.50972200000001;28.3;2390.000000000271
ctio;-70.815;-30.165277777777778;2214.9999999993697
McDonald Observatory;-104.0216666944444;30.671666694444443;2074.9999999988677
Wise Observatory;34.76218;30.597390000000004;875.0000000008495
Ali;80.01666666666667;32.31666666666667;5050
Beijing XingLong Observatory;117.57500000000002;40.393333333333324;949.9999999991034
Jilin;126.3304611111111;43.824377777777784;900
Lijiang;100.0300555556;26.6952222222;3600
Roque de los Muchachos;-17.879999999999995;28.758333333333336;2326.999999998442
Les Makes;55.408963;-21.199471;1000
La Silla Observatory;-70.73000000000002;-29.25666666666666;2346.999999998842
Calern Observatory;6.9333333333;43.75;1270
ohp;5.713333333333334;43.93083333333333;650.0000000000365
Maidanak;66.8956051;38.6733975;2593
Gingin Observatory;115.713111;-31.358722;50
