Name,RA(J2000),DEC(J2000),Radius,magnitude
BM CrB,15 41 04.7,+36 02 53,0.5,17.2
J1955+0045,19 55 12.5,+00 45 37,0.5,15.6B
IL Leo,10 31 00.6,+20 28 32,0.5,18.3g
PT Per,02 42 51.2,+56 41 32,0.5,14.5
J1751-2942,17 51 47.4,-29 42 15,0.5,21.4R
EF Eri,03 14 13.0,-22 35 41,0.5,13.7
FH UMa,10 47 09.9,+63 35 14,0.5,18.5
J0528+2838,05 28 32.7,+28 38 38,0.5,14.5R
GG Leo,10 15 34.7,+09 04 42,0.5,16.
EV UMa,13 07 53.9,+53 51 30,0.5,17.
J1845+4831,18 45 42.6,+48 31 31,0.5,16.6B
J1751-2938,17 51 18.8,-29 38 11,0.5,22.7R
J0354-1652,03 54 10.3,-16 52 50,0.5,17.2
V407 Vul,19 14 26.1,+24 56 43,0.5,18.2
Tri,02 09 29.80,+28 32 29.3,0.5,18.4B-
Eri,04 25 55.18,-19 45 30.4,0.5,16.6v-
Tau4,05 02 50.94,+16 24 22.0,0.5,17.1V-
Lep,06 00 33.30,-27 09 18.5,0.5,19V-
Mon,06 49 50.88,-07 37 41.7,0.5,18.0B-
Mon,07 49 10.40,-05 49 25.6,0.5,19.0B-
Lyn,08 20 51.07,+49 34 31.7,0.5,18.0V-19.3V
Lyn,08 37 51.00,+38 30 12.5,0.5,19.1s-
Hya,08 59 09.18,+05 36 54.5,0.5,17V-
Leo,09 24 55.94,+13 20 52.4,0.5,17.9B-
Leo,09 53 08.17,+14 58 36.1,0.5,17.3V-
Hya,10 02 11.71,-19 25 37.4,0.5,17B-
Hya,10 07 34.64,-20 17 32.4,0.5,18.0V-
Vir,14 22 56.32,-02 21 08.0,0.5,19.5b-
Vir,14 24 38.93,-02 27 39.3,0.5,19.5b-
CrB,15 41 04.67,+36 02 52.9,0.5,19.7s-
CrB,15 54 12.34,+27 21 52.4,0.5,16.8B-
Ser,16 10 07.51,+03 52 33.0,0.5,15.9V-
Her,16 26 08.16,+33 28 27.8,0.5,18.4s-
Her,17 00 53.30,+40 03 57.7,0.5,19.4s-
Sgr,17 45 32.7,-29 05 52.,0.5,-
Dra,18 46 58.83,+55 38 29.1,0.5,17.2R-20.0R
Aqr,20 48 27.91,+00 50 08.9,0.5,19.7s-
Aqr5,23 16 03.65,-05 27 08.7,0.5,17.5B-
GK Per,03 31 12.0,+43 54 16,0.5,12.8
QR And,00 19 49.8,+21 56 53,0.5,12.2
V2731 Oph,17 30 21.9,-05 59 32,0.5,16.3B
V1062 Tau,05 02 27.5,+24 45 23,0.5,15.1B
J0043+4113,00 43 20.0,+41 13 46,0.5,>21.
V902 Mon,06 27 46.4,+01 48 11,0.5,16.0
V2275 Cyg,21 03 02.0,+48 45 53,0.5,18.0
V2069 Cyg,21 23 44.8,+42 18 02,0.5,15.8
J0457+4527,04 57 08.3,+45 27 50,0.5,17.5
J2133+5107,21 33 43.7,+51 07 25,0.5,14.9
V426 Oph,18 07 51.7,+05 51 49,0.5,13.5
EI UMa,08 38 22.0,+48 38 02,0.5,13.1
V1425 Aql,19 05 26.7,-01 42 14,0.5,20. :
XY Ari,02 56 08.2,+19 26 34,0.5,13.1K
AH Eri,04 22 38.1,-13 21 30,0.5,17.7
V3037 Oph,17 40 16.1,-29 03 38,0.5,19.1
V667 Pup,07 32 37.7,-13 31 08,0.5,15.7V
WX Pyx,08 33 05.8,-22 48 33,0.5,16.7
J1830-1232,18 30 49.9,-12 32 19,0.5,17.9
V709 Cas,00 28 48.9,+59 17 22,0.5,14.1
PQ Gem,07 51 17.4,+14 44 25,0.5,14.0
HZ Pup,08 03 22.8,-28 28 29,0.5,17.2
FO Aqr,22 17 55.4,-08 21 05,0.5,12.7
MU Cam,06 25 16.2,+73 34 40,0.5,14.4
HY Leo,09 46 34.5,+13 50 58,0.5,15.8
V1323 Her,18 03 39.7,+40 12 21,0.5,17.0R
V418 Gem,07 04 08.7,+26 25 11,0.5,16.7B
V2306 Cyg,19 58 14.5,+32 32 42,0.5,15.7
GI Mon,07 26 47.1,-06 40 30,0.5,16.1
CW Mon,06 36 54.5,+00 02 16,0.5,16.8
LS Peg,21 51 57.9,+14 06 54,0.5,11.6
V405 Aur,05 57 59.3,+53 53 45,0.5,13.9
J2216+4646,22 16 50.3,+46 46 41,0.5,14.0
V1033 Cas,00 22 57.6,+61 41 08,0.5,16.6
DO Dra,11 43 38.3,+71 41 20,0.5,14.0
J0153+7446,01 53 20.9,+74 46 22,0.5,16.4
J1446+0253,14 46 60.0,+02 53 30,0.5,17.9
V2467 Cyg,20 28 12.5,+41 48 36,0.5,20.0B
J1654-1916,16 54 43.7,-19 16 31,0.5,15.6
V373 Sct,18 55 26.7,-07 43 06,0.5,18.4R
LD 317,23 44 57.4,+43 31 22,0.5,12.6
AO Psc,22 55 18.0,-03 10 40,0.5,13.3
VZ Sex,09 44 31.7,+03 58 05,0.5,16.
V647 Aur,06 36 32.6,+35 35 43,0.5,15.7B
J1926+1322,19 26 27.0,+13 22 05,0.5,17.3R
