Name,RA(J2000),DEC(J2000),Radius,magnitude
RW Sex,10 19 56.6,-08 41 56,0.5,9.9
M 5-V101,15 18 14.5,+02 05 35,0.5,20.7
AH Eri,04 22 38.1,-13 21 30,0.5,17.7
V3037 Oph,17 40 16.1,-29 03 38,0.5,19.1
J0518+2941,05 18 14.3,+29 41 13,0.5,15.0
AG Hya,09 50 29.8,-23 45 17,0.5,19.2
J0742-1049,07 42 08.2,-10 49 32,0.5,16.5
J1744-2603,17 44 44.8,-26 03 30,0.5,17.0
DO Leo,10 40 51.2,+15 11 34,0.5,16.5
V344 Ori,06 15 19.0,+15 31 00,0.5,18.0
V667 Pup,07 32 37.7,-13 31 08,0.5,15.7
VY Scl,23 29 00.5,-29 46 46,0.5,12.1
RW Tri,02 25 36.1,+28 05 51,0.5,12.5
WX Pyx,08 33 05.8,-22 48 33,0.5,16.7
J0805+0720,08 05 34.5,+07 20 29,0.5,17.8
J2256+5954,22 56 08.4,+59 54 30,0.5,14.3
V705 Cas,23 41 47.3,+57 31 00,0.5,17.0
J1753-2917,17 53 18.7,-29 17 17,0.5,19.0
J1830-1232,18 30 49.9,-12 32 19,0.5,17.9
EZ Del,20 25 22.9,+15 45 58,0.5,14.5
V709 Cas,00 28 48.9,+59 17 22,0.5,14.1
DM Cap,21 54 11.1,-09 01 22,0.5,19.2
CZ Ori,06 16 43.2,+15 24 12,0.5,16.3
FO Aql,19 16 38.2,+00 07 37,0.5,18.0
AY Psc,01 36 55.4,+07 16 30,0.5,15.3
V513 Cas,00 18 14.9,+66 18 14,0.5,18.0
HL CMa,06 45 17.2,-16 51 35,0.5,13.2
PQ Gem,07 51 17.4,+14 44 25,0.5,14.0
AR Cnc,09 22 07.5,+31 03 15,0.5,18.7
V5588 Sgr,18 10 21.4,-23 05 30,0.5,17.7
HR Del,20 42 20.4,+19 09 40,0.5,11.9
PW Vul,19 26 05.1,+27 21 59,0.5,17.5
HZ Pup,08 03 22.8,-28 28 29,0.5,17.2
J1759-2624,17 59 11.7,-26 24 40,0.5,18.6
EX Dra,18 04 14.1,+67 54 12,0.5,15.3
RX And,01 04 35.6,+41 17 58,0.5,14.0
J0816+4530,08 16 10.8,+45 30 10,0.5,19.2
J0900+4301,09 00 16.6,+43 01 18,0.5,18.9
2205+0201,22 08 07.5,+02 16 20,0.5,16.4
TW Tri,01 36 37.0,+32 00 40,0.5,17.0
V446 Her,18 57 21.6,+13 14 29,0.5,17.6
V495 Hya,08 44 00.1,+02 39 19,0.5,18.3
V825 Her,17 18 37.0,+41 15 51,0.5,14.1
J0808+3131,08 08 46.2,+31 31 06,0.5,19.4
J0911+0841,09 11 27.4,+08 41 41,0.5,19.7
T Aur,05 31 59.1,+30 26 45,0.5,14.9
J2138+2638,21 38 05.0,+26 38 20,0.5,17.8
FO Aqr,22 17 55.4,-08 21 05,0.5,12.7
AT Cnc,08 28 36.9,+25 20 03,0.5,15.3
HX Peg,23 40 23.7,+12 37 42,0.5,15.8
CZ Aql,19 19 58.2,-07 10 55,0.5,14.6
J1822-2956,18 22 16.2,-29 56 40,0.5,18.4
MU Cam,06 25 16.2,+73 34 40,0.5,14.4
UX UMa,13 36 41.0,+51 54 50,0.5,12.5
LS IV -08 3,16 56 29.6,-08 34 39,0.5,11.5
V363 Lyr,19 08 51.6,+43 00 32,0.5,19.5
CT Ser,15 45 39.1,+14 22 33,0.5,16.3
2325+8205,23 26 50.5,+82 22 11,0.5,16.4
J1814-2847,18 14 33.0,-28 47 35,0.5,19.5
DQ Her,18 07 30.4,+45 51 32,0.5,14.2
J0107+4845,01 07 42.8,+48 45 19,0.5,14.9
AI Tri,02 03 48.6,+29 59 26,0.5,14.7
BI Ori,05 23 51.8,+01 00 30,0.5,17.0
V416 Dra,18 57 20.4,+71 31 19,0.5,17.2
CG Dra,19 07 32.8,+52 58 29,0.5,17.4
HM Leo,09 38 37.0,+07 14 55,0.5,17.5
J2047+0000,20 47 20.8,+00 00 08,0.5,20.0
J1006+2337,10 06 58.4,+23 37 24,0.5,18.5
HH Cnc,09 16 50.7,+28 49 43,0.5,19.5
HY Leo,09 46 34.5,+13 50 58,0.5,15.8
V1323 Her,18 03 39.7,+40 12 21,0.5,17.0
J0649-0737,06 49 50.8,-07 37 41,0.5,18.0
J1959+5625,19 59 19.4,+56 25 21,0.5,19.7
MQ Dra,15 53 31.1,+55 16 15,0.5,17.3
SS Aur,06 13 22.4,+47 44 26,0.5,15.0
TW Vir,11 45 21.1,-04 26 06,0.5,16.3
V418 Gem,07 04 08.7,+26 25 11,0.5,16.7
V2306 Cyg,19 58 14.5,+32 32 42,0.5,15.7
V542 Cyg,19 49 10.5,+58 31 59,0.5,18.3
V795 Cyg,19 34 34.1,+31 32 12,0.5,18.4
GI Mon,07 26 47.1,-06 40 30,0.5,16.1
V513 Peg,22 16 31.2,+29 00 21,0.5,15.5
