Name,RA(J2000),DEC(J2000),Radius,magnitude
EU Cnc,08 51 27.2,+11 46 57,0.5,20.1
J0723+5050,07 23 12.7,+50 50 08,0.5,19.0
IR Com,12 39 32.0,+21 08 06,0.5,16.9
J0038+7921,00 38 37.5,+79 21 37,0.5,19.2
J2126+2538,21 26 24.2,+25 38 27,0.5,19.3
J2212+1601,22 12 32.0,+16 01 40,0.5,20.3
HU Aqr,21 07 58.3,-05 17 39,0.5,14.5
YZ Cnc,08 10 56.6,+28 08 34,0.5,15.0
J1740-2847,17 40 09.1,-28 47 26,0.5,18.4
J0614-2725,06 14 51.7,-27 25 35,0.5,0.0
J1743-0429,17 43 20.3,-04 29 57,0.5,15.1
V419 Lyr,19 10 13.9,+29 06 14,0.5,18.0
J0009-1210,00 09 38.2,-12 10 16,0.5,19.9
J1751-2929#1,17 51 29.1,-29 29 24,0.5,22.2
V823 Cyg,20 01 49.3,+36 07 24,0.5,18.9
J0039+2713,00 39 00.5,+27 13 46,0.5,22.1
J0459+7711,04 59 55.7,+77 11 18,0.5,20.8
J0959-1601,09 59 26.5,-16 01 47,0.5,20.3
GQ CVn,12 43 12.1,+43 32 00,0.5,21.1
J1556-0804,15 56 31.0,-08 04 40,0.5,19.9
J2203+3056,22 03 28.2,+30 56 37,0.5,20.1
DV UMa,09 46 36.7,+44 46 45,0.5,18.3
V452 Cas,00 52 18.1,+53 51 50,0.5,20.0
V713 Cep,20 46 38.7,+60 38 04,0.5,18.0
NGC 6656-CV2,18 36 02.7,-23 55 25,0.5,19.2
J0841+2100,08 41 27.4,+21 00 54,0.5,20.6
J1639+1224,16 39 42.7,+12 24 14,0.5,20.5
J1805-2743,18 05 07.1,-27 43 09,0.5,17.6
J2126+2019,21 26 25.1,+20 19 46,0.5,20.0
J0519+1554,05 19 22.9,+15 54 35,0.5,19.4
V1901 Aql,20 31 37.6,-00 05 12,0.5,0.0
J0328+0522,03 28 55.0,+05 22 54,0.5,18.0
NSV 5285,11 39 50.6,+45 58 18,0.5,20.0
J1417-1803,14 17 12.0,-18 03 28,0.5,19.7
TY PsA,22 49 39.9,-27 06 54,0.5,15.9
V516 Lyr,19 20 35.7,+37 44 52,0.5,20.5
EF Peg,21 15 04.1,+14 03 49,0.5,18.5
V2951 Oph,17 30 06.5,+03 38 20,0.5,16.5
QU Aqr,21 00 14.1,+00 44 46,0.5,18.8
V1007 Her,17 24 06.3,+41 14 09,0.5,17.6
QZ Ser,15 56 54.5,+21 07 20,0.5,15.7
MT Com,12 55 10.7,+26 42 26,0.5,17.2
J1748+5050,17 48 27.9,+50 50 40,0.5,19.9
J2320+4443,23 20 22.4,+44 43 31,0.5,21.0
J2258-0949,22 58 31.2,-09 49 32,0.5,15.6
BG Ari,01 51 51.9,+14 00 47,0.5,20.3
HV Aur,04 53 16.8,+38 16 29,0.5,19.0
V364 Peg,21 12 29.7,+12 32 04,0.5,19.0
TU Crt,11 03 36.5,-21 37 46,0.5,17.5
V369 Peg,23 03 41.8,+17 17 56,0.5,18.2
J1013+4558,10 13 23.6,+45 58 59,0.5,18.5
J1459+3548,14 59 21.8,+35 48 05,0.5,21.6
J1652+4605,16 52 36.3,+46 05 15,0.5,22.1
J1850+4044,18 50 50.6,+40 44 06,0.5,18.1
KP Cas,00 38 54.8,+61 13 00,0.5,18.0
V808 Aur,07 11 26.0,+44 04 05,0.5,14.4
V1974 Cyg,20 30 31.7,+52 37 51,0.5,16.9
V1032 Oph,16 26 09.7,-03 53 25,0.5,18.0
J1504+0847,15 04 41.8,+08 47 53,0.5,19.1
V1237 Her,17 00 53.3,+40 03 58,0.5,0.0
CP Dra,10 15 39.8,+73 26 05,0.5,20.0
J0810+0024,08 10 30.6,+00 24 29,0.5,16.5
AR UMa,11 15 44.7,+42 58 23,0.5,13.3
J0912+6209,09 12 42.2,+62 09 40,0.5,18.8
V493 Ser,15 56 44.3,-00 09 51,0.5,17.8
J0008+7731,00 08 20.4,+77 31 19,0.5,20.8
J0851+3444,08 51 13.4,+34 44 49,0.5,20.2
J1026+1920,10 26 16.1,+19 20 45,0.5,20.1
J1050+3328,10 50 26.0,+33 28 13,0.5,22.5
J1444-1311,14 44 53.0,-13 11 18,0.5,20.3
J1751+3521,17 51 30.2,+35 21 23,0.5,20.0
J1817+6708,18 17 52.5,+67 08 08,0.5,0.0
J2022+5004,20 22 25.1,+50 04 57,0.5,20.3
J2102+0258,21 02 05.7,+02 58 34,0.5,21.0
J2216+7054,22 16 21.9,+70 54 16,0.5,20.6
J2311+2040,23 11 42.8,+20 40 36,0.5,20.5
AN UMa,11 04 25.7,+45 03 15,0.5,14.5
J0000+3325,00 00 24.6,+33 25 43,0.5,20.8
J0002+4242,00 02 22.3,+42 42 14,0.5,19.3
EK UMa,10 51 35.2,+54 04 36,0.5,0.0
AC LMi,10 19 47.3,+33 57 54,0.5,17.5
J1821+2121,18 21 42.8,+21 21 54,0.5,20.3
J0357+1029,03 57 58.6,+10 29 42,0.5,19.2
ST LMi,11 05 39.8,+25 06 29,0.5,13.7
J0045+5032,00 45 27.5,+50 32 16,0.5,19.7
J0334-0710,03 34 49.9,-07 10 48,0.5,18.0
J0946-0056,09 46 06.9,-00 56 01,0.5,20.4
J1736+0716,17 36 15.1,+07 16 56,0.5,22.5
J1642+1347,16 42 48.5,+13 47 51,0.5,18.5
V489 Ser,15 55 32.0,-00 10 55,0.5,19.3
J0211+1716,02 11 10.2,+17 16 24,0.5,19.2
MR Ser,15 52 47.2,+18 56 28,0.5,14.9
NSV 14652,23 38 48.7,+28 19 55,0.5,18.0
FR Lyn,08 54 14.0,+39 05 37,0.5,16.4
V884 Her,18 02 06.5,+18 04 43,0.5,14.5
V2301 Oph,18 00 35.6,+08 10 13,0.5,16.1
V660 Her,17 42 09.2,+23 48 31,0.5,19.0
PV Per,02 42 53.5,+38 04 04,0.5,19.8
J0634+4120,06 34 38.0,+41 20 47,0.5,20.7
J0800+1924,08 00 33.9,+19 24 16,0.5,20.1
PU UMa,09 01 03.9,+48 09 11,0.5,18.7
TY Vul,20 41 44.0,+25 35 11,0.5,19.0
V503 Cyg,20 27 17.4,+43 41 23,0.5,17.0
J1126-1002,11 26 34.0,-10 02 10,0.5,18.5
DH Aql,19 26 10.8,-10 15 29,0.5,18.3
J1244+3004,12 44 17.9,+30 04 01,0.5,20.5
V1389 Tau,04 06 59.8,+00 52 44,0.5,18.4
J0732+4130,07 32 08.1,+41 30 09,0.5,20.4
J1052-0643,10 52 15.3,-06 43 26,0.5,20.1
J1527+6327,15 27 55.1,+63 27 54,0.5,18.9
J2125-1026,21 25 21.8,-10 26 28,0.5,20.2
HS Vir,13 43 38.4,-08 14 03,0.5,15.5
J0726+8332,07 26 37.2,+83 32 19,0.5,20.8
J0254+2244,02 54 43.7,+22 44 02,0.5,19.7
J0333+3321,03 33 56.9,+33 21 51,0.5,17.3
HY Psc,23 03 51.7,+01 06 52,0.5,17.3
V630 Cyg,21 34 59.2,+40 40 19,0.5,17.2
J1730+6247,17 30 08.3,+62 47 55,0.5,15.9
V1113 Cyg,19 22 42.1,+52 44 00,0.5,18.6
AW Gem,07 22 40.6,+28 30 16,0.5,18.8
J1751-2933#2,17 51 33.6,-29 33 13,0.5,22.4
SU UMa,08 12 28.2,+62 36 23,0.5,14.2
QY Per,03 15 36.8,+42 28 14,0.5,21.0
RZ Leo,11 37 22.3,+01 48 58,0.5,18.5
V368 Per,02 47 32.6,+34 58 28,0.5,20.7
J0437+3652,04 37 19.0,+36 52 55,0.5,20.7
V893 Sco,16 15 15.1,-28 37 31,0.5,14.0
EG Aqr,23 25 19.2,-08 18 19,0.5,18.3
WY Tri,02 25 00.5,+32 59 56,0.5,19.1
TT Boo,14 57 44.7,+40 43 42,0.5,19.2
LX Cnc,08 12 07.6,+13 18 24,0.5,19.3
J1626-1255,16 26 19.9,-12 55 56,0.5,20.1
V342 Cam,04 23 32.9,+74 52 50,0.5,17.5
J0839+2828,08 39 31.4,+28 28 24,0.5,20.2
J2158+0947,21 58 15.3,+09 47 10,0.5,16.8
J1005+1911,10 05 15.4,+19 11 08,0.5,18.2
J0741-0945,07 41 12.7,-09 45 56,0.5,19.3
J1545+4428,15 45 44.9,+44 28 30,0.5,20.9
J1821+1709,18 21 13.9,+17 09 16,0.5,18.8
J1915+4036,19 15 11.8,+40 36 26,0.5,23.0
J1939+3927,19 39 48.8,+39 27 19,0.5,19.2
FT Cam,03 21 14.4,+61 05 27,0.5,17.5
BK Lyn,09 20 11.2,+33 56 42,0.5,16.0
J0814-0050,08 14 18.9,-00 50 22,0.5,19.1
LY Hya,13 31 53.8,-29 40 59,0.5,17.4
J0501+2038,05 01 24.1,+20 38 18,0.5,19.1
QT Aqr,20 59 14.9,-06 12 20,0.5,18.4
J1922+4309,19 22 54.9,+43 09 05,0.5,17.6
AY For,02 42 34.8,-28 02 44,0.5,18.4
QW Ser,15 26 14.0,+08 18 02,0.5,18.0
J2344-0012,23 44 40.5,-00 12 06,0.5,21.0
V1251 Cyg,21 40 54.4,+48 39 43,0.5,20.5
J1002-1925,10 02 11.7,-19 25 38,0.5,17.0
J1858+4914,18 58 30.9,+49 14 33,0.5,16.5
V1316 Cyg,20 12 13.6,+42 45 52,0.5,17.5
NY Her,17 52 52.6,+29 22 19,0.5,18.2
J0442-0023,04 42 16.0,-00 23 34,0.5,21.0
J0543+0931,05 43 18.0,+09 31 15,0.5,21.0
J0610+1240,06 10 04.0,+12 40 09,0.5,21.5
J0819+1915,08 19 36.1,+19 15 40,0.5,20.5
J1649+0358,16 49 50.4,+03 58 35,0.5,19.3
J1912+5034,19 12 35.6,+50 34 32,0.5,20.0
IY UMa,10 43 57.0,+58 07 33,0.5,17.3
AY Lyr,18 44 26.7,+37 59 52,0.5,18.5
HT Cas,01 10 13.0,+60 04 36,0.5,16.4
CC Cnc,08 36 19.2,+21 21 05,0.5,17.4
DM Dra,15 34 12.1,+59 48 32,0.5,20.8
J1751-2927,17 51 33.9,-29 27 54,0.5,20.5
VZ Pyx,08 59 19.9,-24 28 55,0.5,15.5
KV And,02 17 13.8,+40 41 31,0.5,19.5
V677 And,23 34 23.1,+39 14 23,0.5,17.0
IL Vul,20 38 32.7,+22 42 17,0.5,20.0
J1110-2337,11 10 46.2,-23 37 45,0.5,20.7
J1755-0051,17 55 02.1,-00 51 41,0.5,22.0
OU Vir,14 35 00.1,-00 46 07,0.5,17.5
J0803+2848,08 03 07.0,+28 48 56,0.5,20.6
EP Dra,19 07 06.1,+69 08 42,0.5,17.0
TU Tri,01 39 15.3,+31 24 19,0.5,18.5
J0953+1458,09 53 08.1,+14 58 36,0.5,17.3
V1047 Aql,19 51 31.1,+10 57 22,0.5,18.3
BB Ari,02 44 57.7,+27 31 09,0.5,16.0
AW Sge,19 58 37.1,+16 41 29,0.5,19.3
J2123-1539,21 23 25.6,-15 39 54,0.5,20.5
QV Aqr,21 04 50.0,+01 05 46,0.5,20.5
NN Cam,04 12 36.9,+69 29 06,0.5,17.2
V529 Dra,18 42 28.1,+48 37 42,0.5,21.0
FO And,01 15 32.1,+37 37 36,0.5,17.5
J0150+3756,01 50 16.2,+37 56 19,0.5,19.1
GD 552,22 50 39.9,+63 28 38,0.5,16.3
FQ Mon,07 16 41.2,-06 56 49,0.5,21.7
VW CrB,16 00 03.8,+33 11 15,0.5,19.6
V1024 Per,04 02 39.0,+42 50 45,0.5,16.2
J0115+2455,01 15 16.5,+24 55 30,0.5,21.2
J0133+4107,01 33 07.6,+41 07 19,0.5,21.6
J0150+3326,01 50 51.5,+33 26 22,0.5,18.2
J0316+1758,03 16 00.1,+17 58 24,0.5,22.2
J0512+4505,05 12 34.6,+45 05 12,0.5,20.6
J0803+2516,08 03 03.9,+25 16 27,0.5,19.6
J1600+7050,16 00 20.6,+70 50 07,0.5,19.2
J1723+1757,17 23 06.3,+17 57 56,0.5,20.5
J2305+6521,23 05 38.4,+65 21 59,0.5,19.4
J0706+0324,07 06 48.9,+03 24 48,0.5,15.8
J0221-2619,02 21 37.9,-26 19 52,0.5,19.0
J0838+4910,08 38 45.2,+49 10 56,0.5,19.6
V362 Lib,14 43 41.9,-17 55 49,0.5,20.0
J0345-0152,03 45 15.4,-01 52 16,0.5,18.7
J1740+0603,17 40 45.9,+06 03 51,0.5,15.3
V2779 Oph,18 08 35.8,+10 10 30,0.5,18.0
V2527 Oph,17 22 04.4,-19 49 09,0.5,19.0
M31 2006-04a,00 43 13.4,+41 16 59,0.5,20.5
J0015+2636,00 15 38.2,+26 36 57,0.5,17.9
J0213+4606,02 13 17.2,+46 06 43,0.5,18.5
J0513-2619,05 13 06.6,-26 19 52,0.5,10.9
J0754+3812,07 54 18.7,+38 12 25,0.5,22.8
J1057-2156,10 57 49.8,-21 56 58,0.5,17.5
J1853+4758,18 53 55.8,+47 58 31,0.5,20.9
J1959-1833,19 59 18.0,-18 33 31,0.5,21.0
J2027-2240,20 27 31.2,-22 40 01,0.5,18.6
J2157+1049,21 57 23.1,+10 49 59,0.5,20.9
VV Pup,08 15 06.7,-19 03 17,0.5,13.2
CY UMa,10 56 57.1,+49 41 19,0.5,17.0
V1504 Cyg,19 28 56.5,+43 05 37,0.5,17.4
V536 Dra,19 14 43.5,+60 52 14,0.5,21.0
EG Lyn,08 20 51.0,+49 34 31,0.5,18.0
V544 Her,16 38 05.4,+08 37 58,0.5,20.1
J0943-2720,09 43 27.3,-27 20 30,0.5,18.8
J1120+6636,11 20 03.4,+66 36 32,0.5,21.1
J1344+2044,13 44 41.8,+20 44 08,0.5,17.2
J1354+2736,13 54 18.8,+27 36 03,0.5,22.7
J1554+3650,15 54 30.6,+36 50 42,0.5,21.0
J1628+2402,16 28 30.9,+24 02 59,0.5,20.0
J1802+4552,18 02 22.5,+45 52 45,0.5,19.5
J2149-1219,21 49 34.2,-12 19 08,0.5,0.0
J2206+3014,22 06 41.1,+30 14 36,0.5,0.0
J2313+2337,23 13 08.1,+23 37 02,0.5,20.2
J1132+6249,11 32 15.5,+62 49 01,0.5,18.4
V1208 Tau,04 59 44.0,+19 26 23,0.5,18.4
V368 Peg,22 58 43.5,+11 09 12,0.5,17.7
J1216+0520,12 16 07.0,+05 20 14,0.5,20.1
V337 Cyg,19 59 52.9,+39 14 00,0.5,20.0
V699 Oph,16 25 14.8,-04 40 26,0.5,16.5
J1429+4145,14 29 55.9,+41 45 17,0.5,17.7
J1509+4650,15 09 03.7,+46 50 57,0.5,21.0
IR Gem,06 47 34.6,+28 06 23,0.5,16.3
TY Psc,01 25 39.4,+32 23 10,0.5,16.0
J1715+6856,17 15 41.8,+68 56 43,0.5,18.3
RZ Sge,20 03 18.5,+17 02 53,0.5,16.9
EX Hya,12 52 24.4,-29 14 57,0.5,12.0
HS Cam,07 19 14.5,+65 57 45,0.5,17.0
V1212 Tau,03 51 57.0,+25 25 28,0.5,20.5
V458 Vul,19 54 24.6,+20 52 52,0.5,14.6
V650 Peg,22 43 48.5,+08 09 27,0.5,19.0
J0558+0006,05 58 42.8,+00 06 26,0.5,20.5
J1658+1847,16 58 37.7,+18 47 27,0.5,17.5
KS UMa,10 20 26.5,+53 04 33,0.5,17.0
J0529+1848,05 29 58.8,+18 48 10,0.5,18.2
J1117+7651,11 17 59.7,+76 51 31,0.5,21.2
J1612-1509,16 12 21.3,-15 09 39,0.5,21.5
J2218+3445,22 18 22.9,+34 45 09,0.5,18.9
J2353+2742,23 53 13.2,+27 42 02,0.5,20.2
BZ UMa,08 53 44.1,+57 48 41,0.5,16.0
NSV 4838,10 23 20.2,+44 05 09,0.5,18.8
SS UMi,15 51 22.2,+71 45 12,0.5,16.7
J1152+4049,11 52 07.0,+40 49 48,0.5,19.3
LW Cam,07 04 09.9,+62 03 28,0.5,17.2
V550 Cyg,20 05 05.2,+32 21 21,0.5,19.5
J0506+3547,05 06 17.4,+35 47 39,0.5,20.5
V2690 Oph,16 37 22.2,-00 19 57,0.5,21.4
V1229 Her,16 56 58.1,+21 21 39,0.5,18.5
V701 Tau,03 44 01.9,+21 57 08,0.5,19.5
J2154+1557,21 54 27.2,+15 57 13,0.5,20.9
SX LMi,10 54 30.4,+30 06 10,0.5,17.4
V1240 Her,17 02 44.1,+22 35 48,0.5,17.3
PU Per,02 42 16.1,+35 40 46,0.5,20.0
V375 UMa,10 26 37.0,+47 54 27,0.5,20.1
J1146+6759,11 46 28.8,+67 59 10,0.5,18.8
J1409-2917,14 09 32.1,-26 17 04,0.5,20.9
J1628+0653,16 28 06.2,+06 53 15,0.5,20.6
J1925+6851,19 25 14.5,+68 51 22,0.5,17.9
J2035+0920,20 35 09.8,+09 20 47,0.5,20.7
J2253+3330,22 53 50.5,+33 30 33,0.5,20.5
BS Tri,02 09 29.8,+28 32 29,0.5,17.0
J0950-0639,09 50 18.1,-06 39 22,0.5,20.9
J0333+3320,03 33 52.8,+33 20 45,0.5,18.0
IX Dra,18 12 31.4,+67 04 46,0.5,17.5
J0932+4725,09 32 49.6,+47 25 23,0.5,18.5
KY Eri,03 10 51.7,-07 55 00,0.5,20.7
HP Cet,02 33 22.6,+00 51 00,0.5,18.7
J2158+2419,21 58 18.5,+24 19 24,0.5,18.9
J0431-0314,04 31 12.4,-03 14 52,0.5,18.9
FL Lyn,08 24 09.7,+49 31 24,0.5,19.3
J0416+2928,04 16 36.9,+29 28 06,0.5,20.0
J0443-2108,04 43 45.4,-21 08 34,0.5,20.6
J0640+4421,06 40 21.1,+44 21 28,0.5,21.4
J0647+4915,06 47 25.7,+49 15 43,0.5,19.0
J0746-0746,07 46 35.1,-07 46 33,0.5,18.5
J1015+8124,10 15 10.8,+81 24 19,0.5,21.5
J1100+1315,11 00 14.7,+13 15 52,0.5,18.7
J1642-2313,16 42 13.2,-23 13 13,0.5,18.3
J2218+6542,22 18 11.0,+65 42 20,0.5,20.5
KX Psc,23 04 25.9,+06 25 46,0.5,21.1
J0116+0922,01 16 13.8,+09 22 16,0.5,18.9
GO Com,12 56 37.1,+26 36 44,0.5,20.0
V2362 Cyg,21 11 32.3,+44 48 04,0.5,21.0
J0945-1944,09 45 51.0,-19 44 01,0.5,16.5
J0922+3307,09 22 29.3,+33 07 44,0.5,18.4
YY Sex,10 39 47.0,-05 06 58,0.5,17.4
J1811+2242,18 11 22.9,+22 42 07,0.5,22.0
J0426+3541,04 26 09.3,+35 41 45,0.5,16.7
J0438+0040,04 38 29.1,+00 40 17,0.5,19.0
PW Aqr,20 50 17.8,-05 36 27,0.5,0.0
DM Lyr,18 58 44.4,+30 15 33,0.5,18.4
J1524+2209,15 24 19.3,+22 09 20,0.5,18.6
J0746+1734,07 46 40.6,+17 34 13,0.5,20.0
J0912-0349,09 12 46.0,-03 49 16,0.5,17.9
AK Cnc,08 55 21.2,+11 18 15,0.5,18.9
V1195 Oph,17 00 21.7,-20 53 34,0.5,20.5
J0411-0907,04 11 33.6,-09 07 29,0.5,19.6
J0505+2225,05 05 03.1,+22 25 30,0.5,19.9
J0648+4147,06 48 04.5,+41 47 02,0.5,20.1
J1055+5731,10 55 45.2,+57 31 10,0.5,22.2
J1259+2426,12 59 05.8,+24 26 33,0.5,21.1
J1743+2311,17 43 05.7,+23 11 08,0.5,20.2
J1752+5001,17 52 19.1,+50 01 16,0.5,22.2
V776 And,23 19 36.1,+36 47 00,0.5,19.0
AQ CMi,07 14 34.8,+08 48 06,0.5,18.8
CT Hya,08 51 07.4,+03 08 34,0.5,19.9
UV Per,02 10 08.3,+57 11 21,0.5,17.9
J1538+5123,15 38 17.4,+51 23 38,0.5,18.6
EQ Cet,01 28 52.5,-23 39 43,0.5,17.5
HW Boo,13 43 23.2,+15 09 17,0.5,17.5
J0935+1619,09 35 37.5,+16 19 51,0.5,18.5
J0507+1253,05 07 16.2,+12 53 15,0.5,20.5
J1442-2250,14 42 52.0,-22 50 39,0.5,21.5
J1604+1456,16 04 10.6,+14 56 19,0.5,21.7
J1703+6607,17 03 43.0,+66 07 45,0.5,21.0
J2144+2220,21 44 26.4,+22 20 25,0.5,17.1
J0945+2922,09 45 58.2,+29 22 53,0.5,19.1
J1817-2508,18 17 22.2,-25 08 43,0.5,16.9
J1312+1736,13 12 23.5,+17 37 00,0.5,19.1
V632 Cyg,21 36 04.2,+40 26 19,0.5,18.0
V476 Peg,21 54 33.7,+35 50 17,0.5,18.1
ER UMa,09 47 11.8,+51 54 09,0.5,15.8
J0039+0054,00 39 41.1,+00 54 28,0.5,20.6
QZ Lib,15 36 16.0,-08 39 07,0.5,17.5
QZ Aqr,21 31 22.4,-00 39 37,0.5,21.4
MR UMa,11 31 22.4,+43 22 38,0.5,16.7
J1321+5609,13 21 04.0,+56 09 58,0.5,16.3
J1440+4947,14 40 11.0,+49 47 34,0.5,21.2
J1125-0016,11 25 55.7,-00 16 38,0.5,19.7
V1227 Her,16 53 59.1,+20 10 10,0.5,17.5
VY Aqr,21 12 09.2,-08 49 37,0.5,17.1
J0248+5012,02 48 48.1,+50 12 39,0.5,22.1
J0729+5938,07 29 48.6,+59 38 25,0.5,19.8
J0734+2713,07 34 18.7,+27 13 09,0.5,20.3
J1400+5723,14 00 38.0,+57 23 41,0.5,19.3
J1411+2620,14 11 43.5,+26 20 52,0.5,21.7
J1519-2440,15 19 29.6,-24 40 01,0.5,22.4
J2004+4420,20 04 23.1,+44 20 30,0.5,20.2
J2142+1536,21 42 54.3,+15 36 42,0.5,22.6
GP CVn,12 27 40.8,+51 39 25,0.5,19.1
TV Crv,12 20 24.2,-18 27 02,0.5,18.7
V5662 Sgr,20 05 51.2,-29 34 58,0.5,15.9
J1057+2759,10 57 54.2,+27 59 48,0.5,19.0
HO Del,20 36 55.5,+14 03 09,0.5,17.8
J1631+1031,16 31 20.9,+10 31 34,0.5,18.0
J1300+1151,13 00 30.3,+11 51 01,0.5,19.5
J1745-2905,17 45 32.7,-29 05 52,0.5,0.0
BC UMa,11 52 15.9,+49 14 42,0.5,18.6
EU UMa,11 49 55.7,+28 45 08,0.5,16.6
J0257+3337,02 57 37.7,+33 37 51,0.5,18.3
SY Cap,20 29 47.5,-15 54 38,0.5,18.8
J0502+1624,05 02 50.9,+16 24 22,0.5,13.9
V2051 Oph,17 08 19.1,-25 48 31,0.5,15.0
DP Leo,11 17 16.0,+17 57 41,0.5,17.5
J1325+2100,13 25 36.1,+21 00 37,0.5,19.5
V1159 Ori,05 28 59.5,-03 33 53,0.5,13.6
V402 And,00 11 07.3,+30 32 36,0.5,20.3
V1141 Aql,19 37 09.8,+02 36 01,0.5,19.5
CG CMa,07 04 05.2,-23 45 34,0.5,22.0
V611 Her,16 44 49.4,+19 59 40,0.5,20.7
J0301+4011,03 01 28.8,+40 11 05,0.5,19.2
J0600+1426,06 00 10.0,+14 26 13,0.5,20.4
J0754+3132,07 54 14.5,+31 32 16,0.5,19.6
J1127-2822,11 27 26.0,-28 22 12,0.5,21.3
J2032+0305,20 32 37.5,+03 05 25,0.5,21.1
J2120+1941,21 20 25.2,+19 41 57,0.5,21.9
J1832-1001,18 32 51.6,-10 01 05,0.5,21.6
DT Pyx,09 18 58.5,-29 42 37,0.5,17.5
J1514+0744,15 14 15.7,+07 44 47,0.5,18.6
J1050-1404,10 50 11.0,-14 04 37,0.5,17.5
V379 Vir,12 12 09.3,+01 36 28,0.5,18.0
J1025-1542,10 25 22.0,-15 42 24,0.5,19.3
J0332+0204,03 32 31.9,+02 04 39,0.5,19.8
XZ Eri,04 11 25.8,-15 23 24,0.5,18.8
J1537-2440,15 37 56.9,-24 40 14,0.5,21.5
J0141+0908,01 41 50.4,+09 08 22,0.5,20.4
J0243-1603,02 43 54.1,-16 03 14,0.5,20.1
J0439+4242,04 39 15.5,+42 42 33,0.5,21.1
J0449+3605,04 49 32.3,+36 05 14,0.5,17.1
J0506-1659,05 06 59.2,-16 59 32,0.5,19.3
J0528+3618,05 28 55.7,+36 18 39,0.5,20.3
J0907-1042,09 07 05.4,-10 42 45,0.5,21.9
J1015+0333,10 15 45.5,+03 33 13,0.5,19.0
J1623+6500,16 23 14.4,+65 00 38,0.5,21.0
J1822+3249,18 22 01.9,+32 49 08,0.5,21.0
J2031+5119,20 31 55.1,+51 19 39,0.5,20.2
AQ Eri,05 06 13.0,-04 08 07,0.5,17.5
UZ Boo,14 44 01.3,+22 00 56,0.5,19.8
J1751-2936,17 51 19.4,-29 36 59,0.5,22.6
J2037+5522,20 37 49.3,+55 22 10,0.5,20.4
V1028 Cyg,20 00 56.6,+56 56 37,0.5,19.0
J1853-0128,18 53 30.7,-01 28 16,0.5,17.1
J2048-0610,20 48 17.9,-06 10 45,0.5,19.5
FL Cet,01 55 43.4,+00 28 07,0.5,15.0
IW Eri,04 25 55.2,-19 45 30,0.5,16.6
Lanning 420,22 02 43.1,+59 03 21,0.5,20.6
KX Aql,19 33 53.7,+14 17 47,0.5,18.4
J0813-0103,08 13 18.5,-01 03 28,0.5,15.6
V496 Aur,07 27 52.3,+40 46 54,0.5,21.7
KK Cnc,08 07 14.3,+11 38 13,0.5,20.9
DY CMi,07 47 27.6,+06 50 50,0.5,19.5
CI UMa,10 18 13.0,+71 55 43,0.5,19.1
J0019+4649,00 19 52.3,+46 49 33,0.5,21.3
J0157+5110,01 57 46.1,+51 10 24,0.5,20.4
J0646+4033,06 46 08.2,+40 33 05,0.5,17.5
J1051+6725,10 51 22.9,+67 25 29,0.5,19.0
J1324-1951,13 24 39.9,-19 51 29,0.5,20.5
J1405-1902,14 05 22.9,-19 02 09,0.5,21.0
J1649+1402,16 49 25.4,+14 02 44,0.5,21.2
J1720+1838,17 20 38.7,+18 38 02,0.5,20.8
J1734+4342,17 34 32.5,+43 42 19,0.5,22.7
J1953+1859,19 53 27.2,+18 59 13,0.5,20.4
J2210+3046,22 10 25.2,+30 46 06,0.5,20.5
J2253+3553,22 53 44.4,+35 53 54,0.5,20.9
J1250+1549,12 50 44.4,+15 49 58,0.5,18.3
J1743+5203,17 43 48.6,+52 03 46,0.5,19.2
V521 Peg,22 21 44.8,+18 40 08,0.5,17.6
J1703+0908,17 03 43.6,+09 08 35,0.5,21.2
DW Cnc,07 58 53.1,+16 16 45,0.5,14.0
J0826-0007,08 26 54.7,-00 07 33,0.5,19.4
J2112+2421,21 12 58.7,+24 21 46,0.5,21.3
J1729+0054,17 29 29.5,+00 54 04,0.5,21.5
J0904+0355,09 04 03.5,+03 55 01,0.5,19.1
HT Cam,07 57 01.3,+63 06 01,0.5,17.8
FS Aur,05 47 48.3,+28 35 11,0.5,15.4
J1404-1027,14 04 54.0,-10 27 02,0.5,19.1
J1714-2943,17 14 42.6,-29 43 45,0.5,17.1
EL UMa,10 55 07.0,+36 59 46,0.5,20.3
V498 Hya,08 45 55.1,+03 39 30,0.5,21.0
J1751-2937,17 51 23.5,-29 37 55,0.5,22.3
EN Cet,00 27 28.0,-01 08 28,0.5,20.7
V585 Lyr,19 13 58.4,+40 44 09,0.5,21.1
J1044+2113,10 44 11.4,+21 13 07,0.5,19.3
RW UMi,16 47 54.8,+77 02 12,0.5,18.5
J0903+3300,09 03 50.7,+33 00 36,0.5,18.8
EZ Lyn,08 04 34.2,+51 03 49,0.5,17.6
V498 Vul,19 59 51.3,+22 42 32,0.5,22.5
J0139+3538,01 39 35.6,+35 38 41,0.5,20.8
J0643+7410,06 43 35.1,+74 10 15,0.5,21.3
J1202+4503,12 02 31.0,+45 03 49,0.5,20.0
J1414+3835,14 14 59.7,+38 35 48,0.5,20.4
J1650+0120,16 50 59.5,+01 20 07,0.5,21.0
J1853+5945,18 53 09.6,+59 45 07,0.5,17.8
J2052-0239,20 52 52.7,-02 39 53,0.5,19.0
NZ Boo,15 02 41.0,+33 34 24,0.5,17.0
J0755+1435,07 55 07.7,+14 35 48,0.5,18.2
